trial	image	fixation_flip_time	space_press_time	image_flip_time	image_stop_time
273	sun_ahqdurfcupipljxj.jpg	593008.2108	593009.0453	593009.0781	593012.0973
274	labelme_ihjqlrmkjyemzya.jpg	593012.3141	593014.1622	593014.1990	593017.2181
275	labelme_xbsnnlvmskdknsb.jpg	593017.4349	593019.8959	593019.9537	593022.9728
276	sun_afznskzeyysxrlqg.jpg	593023.1896	593023.5747	593023.6400	593026.6591
277	sun_apkxzenqapsujocq.jpg	593026.8759	593027.3346	593027.3597	593030.3788
278	sun_askezdnmkcjbtpiw.jpg	593030.5956	593030.7904	593030.8125	593033.8316
279	sun_aezuhrkzpxgayaoe.jpg	593034.0484	593034.3747	593034.4654	593037.4846
280	sun_angrmjwcbqlakjjz.jpg	593037.7014	593038.1186	593038.1518	593041.1709
281	sun_aarslpsdvwwqyohc.jpg	593041.3878	593041.9104	593041.9549	593044.9740
282	sun_agqfelptwqubavme.jpg	593045.1908	593045.4065	593045.4744	593048.4935
283	sun_anyicygoftxdnxql.jpg	593048.7104	593049.0543	593049.0940	593052.1131
284	sun_akwygwqxkobglwvv.jpg	593052.3300	593053.1261	593053.1807	593056.1998
285	sun_ajuvfnxneqoptivg.jpg	593056.4166	593056.7505	593056.7669	593059.7861
286	sun_abkdszjmterwgxgk.jpg	593060.0029	593060.9501	593060.9704	593063.9895
287	sun_akzfjiqikzlwlbaq.jpg	593064.2063	593064.9266	593064.9403	593067.9594
288	labelme_rwwtgnnqniabmbw.jpg	593068.1762	593068.4555	593068.4931	593071.5123
289	labelme_mitrosygehdeufb.jpg	593071.7291	593072.0786	593072.1294	593075.1485
290	sun_aemhfvjhjlqeigto.jpg	593075.3654	593075.8546	593075.9158	593078.9350
291	labelme_ypjbonxtpwcohyk.jpg	593079.1518	593087.3423	593087.3918	593090.4110
