Subject	RunNr	FixStart	FixEnd	FixDur	XPos	YPos	RMSxy	BCEA	FixRangeX	FixRangeY
sub-025_task-EyeTracking_physio	14	1398.613	1715.289	316.676	957.050	880.253	0.605	0.537	0.707	2.391
sub-025_task-EyeTracking_physio	14	1756.954	2015.293	258.339	1157.095	694.325	0.187	0.066	0.410	0.564
sub-025_task-EyeTracking_physio	14	2048.626	2381.967	333.341	1157.040	598.797	0.086	0.028	0.225	0.302
sub-025_task-EyeTracking_physio	14	2415.300	2706.973	291.673	1395.360	695.275	0.119	0.040	0.359	0.414
sub-025_task-EyeTracking_physio	14	2731.978	2990.317	258.339	1466.850	833.885	0.275	0.157	0.404	1.048
sub-025_task-EyeTracking_physio	15	-5059.675	-4851.337	208.338	1266.050	662.205	0.121	0.197	0.669	0.566
sub-025_task-EyeTracking_physio	15	-4743.003	-4251.328	491.675	1279.395	683.835	0.167	0.152	0.398	0.855
sub-025_task-EyeTracking_physio	15	-4242.994	-3576.314	666.680	1286.878	667.005	0.120	0.075	0.483	0.643
sub-025_task-EyeTracking_physio	15	-3292.974	-3084.638	208.336	1272.120	681.385	0.242	0.059	0.121	1.146
sub-025_task-EyeTracking_physio	15	-3076.305	-1317.934	1758.371	1291.235	672.565	0.161	0.130	0.531	0.801
sub-025_task-EyeTracking_physio	15	-1067.928	298.766	1366.694	1287.210	654.012	0.184	0.246	0.398	1.590
sub-025_task-EyeTracking_physio	15	332.098	548.774	216.676	1151.352	630.095	0.094	0.050	0.201	0.613
sub-025_task-EyeTracking_physio	15	573.772	857.116	283.344	1037.130	839.755	0.290	0.168	0.455	1.004
sub-025_task-EyeTracking_physio	15	890.448	1140.448	250.000	1195.395	872.635	0.233	0.091	0.339	0.812
sub-025_task-EyeTracking_physio	15	1157.115	1448.793	291.678	1042.000	833.960	0.151	0.064	0.414	0.431
sub-025_task-EyeTracking_physio	15	1565.458	1832.132	266.674	1603.308	570.720	0.095	0.026	0.181	0.383
sub-025_task-EyeTracking_physio	15	1948.800	2182.137	233.337	1193.985	574.735	0.120	0.084	0.608	0.388
sub-025_task-EyeTracking_physio	15	2423.811	2765.487	341.676	1290.890	651.750	0.143	0.109	0.326	0.767
sub-025_task-EyeTracking_physio	15	2798.819	2973.824	175.005	1224.285	655.190	0.139	0.039	0.248	0.350
